t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,450.165,191.311,52,oxylabs,socks5,jp
,us,365.048,374.503,49,oxylabs,socks5,jp
,us,241.129,170.345,49,oxylabs,socks5,jp
,us,238.37,184.098,48,oxylabs,socks5,jp
,us,353.529,70.291,48,oxylabs,socks5,jp
,us,530.002,240.019,47,oxylabs,socks5,jp
,us,379.94,310.072,52,oxylabs,socks5,jp
,us,361.022,198.436,51,oxylabs,socks5,jp
,us,384.21,193.273,50,oxylabs,socks5,jp
,us,417.139,11.447,58,oxylabs,socks5,jp
,us,373.822,195.645,50,oxylabs,socks5,jp
,us,363.904,183.315,49,oxylabs,socks5,jp
,us,380.449,13.237,58,oxylabs,socks5,jp
,us,395.432,199.706,41,oxylabs,socks5,jp
,us,0.065,12.845,58,oxylabs,socks5,jp
,us,421.209,251.608,49,oxylabs,socks5,jp
,us,564.612,221.512,54,oxylabs,socks5,jp
,us,331.475,179.553,53,oxylabs,socks5,jp
,us,362.509,176.711,50,oxylabs,socks5,kr
,us,261.569,298.047,44,oxylabs,socks5,kr
,us,375.28,227.22,31,oxylabs,socks5,kr
,us,296.388,198.43,45,oxylabs,socks5,kr
,us,405.071,202.904,52,oxylabs,socks5,kr
